customerID,tenure,PhoneService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,AvgCharge,NormalizedAvgCharge
7233-PAHHL,66,1,2,1,84.0,5714.25,0,86.58,4.461068842013835
6067-NGCEU,65,1,0,3,111.05,7107.0,0,109.34,4.694462293466853
9848-JQJTX,72,1,2,2,100.9,7459.05,0,103.6,4.640537329825382
8637-XJIVR,12,1,0,0,78.95,927.35,1,77.28,4.347435189904263
9803-FTJCG,71,1,1,3,66.85,4748.7,0,66.88,4.202899968776446
0278-YXOOG,5,1,0,1,21.05,113.85,1,22.77,3.125443880075648
3212-KXOCR,52,1,2,2,21.0,1107.2,0,21.29,3.058237478905388
4598-XLKNJ,25,1,0,0,98.5,2514.5,1,100.58,4.610953430743819
6380-ARCEH,1,1,0,1,20.2,20.2,0,20.2,3.005682604407159
3679-XASPY,1,1,0,0,19.45,19.45,0,19.45,2.9678470700644555
7123-WQUHX,38,1,1,2,95.0,3605.6,0,94.88,4.552612935249416
5386-THSLQ,66,0,1,2,45.55,3027.25,0,45.87,3.8258113086090804
3192-NQECA,68,1,2,2,110.0,7611.85,1,111.94,4.717963013463214
6180-YBIQI,5,0,0,1,24.3,100.2,0,20.04,2.997730276216664
6728-DKUCO,72,1,1,0,104.15,7303.05,0,101.43,4.619368905387905
9750-BOOHV,32,0,1,1,30.15,927.65,0,28.99,3.3669509429335642
8597-CWYHH,43,1,1,1,94.35,3921.3,0,91.19,4.512945241945574
2848-YXSMW,72,1,2,3,19.4,1363.25,0,18.93,2.9407479652212314
0486-HECZI,55,1,0,0,96.75,5238.9,1,95.25,4.55650501400681
4549-ZDQYY,52,1,1,3,57.95,3042.25,0,58.5,4.069026754237811
5712-AHQNN,43,1,0,0,91.65,3954.1,0,91.96,4.521353699894981
4846-WHAFZ,37,1,0,0,76.5,2868.15,1,77.52,4.350535967582511
5256-SKJGO,64,0,2,0,54.6,3423.5,0,53.49,3.979494720543159
3071-VBYPO,3,1,0,0,89.85,248.4,0,82.8,4.416428061391214
9560-BBZXK,36,0,2,2,31.05,1126.35,0,31.29,3.443298557680791
5299-RULOA,10,1,0,0,100.25,1064.65,1,106.46,4.667769327744611
8402-OOOHJ,41,1,2,1,20.65,835.15,0,20.37,3.0140632302387145
9445-ZUEQE,27,1,0,3,85.2,2151.6,0,79.69,4.378144107409657
1091-SOZGA,56,1,1,3,99.8,5515.45,0,98.49,4.589955020181611
2928-HLDBA,6,1,0,1,20.7,112.75,0,18.79,2.933324813425374
0404-SWRVG,3,1,0,0,74.4,229.55,1,76.52,4.337552144572052
6497-TILVL,7,1,0,1,50.7,350.35,0,50.05,3.9130225057612296
7219-TLZHO,4,1,0,1,20.85,62.9,0,15.72,2.7549337870010606
4622-YNKIJ,33,1,2,0,88.95,3027.65,0,91.75,4.51906748693468
4412-YLTKF,27,1,0,0,78.05,2135.5,1,79.09,4.370586444531326
6734-PSBAW,72,1,2,2,23.55,1723.95,0,23.94,3.1755507001298273
3930-ZGWVE,1,1,0,1,19.75,19.75,0,19.75,2.9831534913471307
2639-UGMAZ,71,0,1,0,56.45,3985.35,0,56.13,4.027670428954108
2876-GZYZC,13,1,0,0,85.95,1215.65,0,93.51,4.5380683824473556
6207-WIOLX,25,0,0,3,58.6,1502.65,1,60.11,4.09617621705107
8587-XYZSF,67,1,2,2,50.55,3260.1,0,48.66,3.8848573373553763
3091-FYHKI,1,0,0,0,35.45,35.45,1,35.45,3.5681232529781366
2372-HWUHI,2,1,0,0,44.35,81.25,1,40.62,3.7042605561522386
7799-LGRDP,43,1,2,3,25.7,1188.2,0,27.63,3.318902138935325
7850-VWJUU,23,1,0,2,75.0,1778.5,0,77.33,4.348081978620944
3774-VBNXY,64,1,2,1,20.2,1277.75,0,19.96,2.993730270883318
6217-KDYWC,57,1,2,1,19.6,1170.55,0,20.54,3.0223742045004123
0390-DCFDQ,1,1,0,1,70.45,70.45,1,70.45,4.254903238344689
3146-MSEGF,72,1,2,3,88.05,6425.65,0,89.25,4.491441420659749
4080-OGPJL,8,1,0,0,71.15,563.65,1,70.46,4.255045172913092
1095-WGNGG,61,1,2,2,101.05,5971.25,0,97.89,4.583844399273339
2636-SJDOU,64,1,1,3,84.3,5289.05,0,82.64,4.414493824811383
1131-QQZEB,71,1,2,2,23.95,1756.2,0,24.74,3.208421366964342
5716-EZXZN,65,1,2,3,99.05,6416.7,0,98.72,4.592287560157078
6837-BJYDQ,3,1,1,1,19.6,61.35,0,20.45,3.017982882488811
2135-RXIHG,1,1,0,0,45.65,45.65,1,45.65,3.8210036070409776
6440-DKQGE,30,1,1,3,64.5,1929.95,0,64.33,4.1640260854229085
3466-BYAVD,15,1,0,1,69.5,1071.4,0,71.43,4.268717949166882
3780-YVMFA,8,1,0,0,68.55,564.35,0,70.54,4.256179924807906
3874-EQOEP,7,1,0,1,95.0,655.5,1,93.64,4.53945764262271
1679-JRFBR,70,1,1,3,108.15,7930.55,0,113.29,4.729950902885397
9073-ZZIAY,62,1,2,0,86.1,5215.25,0,84.12,4.432244350834499
3077-RSNTJ,6,1,0,1,19.7,113.5,0,18.92,2.9402195636237325
6551-GNYDG,14,1,0,2,80.9,1152.8,0,82.34,4.410857016341759
9167-APMXZ,22,1,0,2,84.15,1821.95,0,82.82,4.416669578117421
2749-CTKAJ,22,1,1,1,20.15,419.9,0,19.09,2.949164637737656
6371-NZYEG,16,1,2,1,64.25,1024.0,0,64.0,4.1588830833596715
7554-NEWDD,10,1,2,2,25.7,251.6,0,25.16,3.22525543183224
8992-VONJD,13,1,0,0,56.0,764.55,0,58.81,4.074311908471865
0867-MKZVY,20,1,0,0,82.4,1592.35,1,79.62,4.377265317572172
4482-EWFMI,2,1,0,0,69.7,135.2,0,67.6,4.213607983048918
4648-YPBTM,53,1,2,2,73.9,3958.25,0,74.68,4.313212318673522
2907-ILJBN,11,1,1,1,20.6,233.9,0,21.26,3.056827372913802
6345-FZOQH,69,1,2,1,19.9,1363.45,0,19.76,2.983659692319722
3376-BMGFE,4,1,0,2,70.9,273.0,1,68.25,4.223177434065069
5997-OPVFA,72,1,2,2,89.05,6254.45,0,86.87,4.464412748271829
3445-HXXGF,58,0,0,0,45.3,2651.2,1,45.71,3.822317092343653
1159-WFSGR,16,1,0,0,20.4,321.4,0,20.09,3.000222178826843
7654-YWJUF,43,1,1,2,84.25,3539.25,0,82.31,4.410492606984553
1875-QIVME,2,1,0,0,104.4,242.8,1,121.4,4.799090878625398
6727-IOTLZ,14,1,2,1,81.95,1181.75,0,84.41,4.4356858779956285
0691-JVSYA,53,1,1,2,94.85,5000.2,1,94.34,4.546905277856116
5918-VUKWP,32,1,1,2,20.55,654.55,0,20.45,3.017982882488811
1744-JHKYS,34,1,0,0,24.7,780.2,0,22.95,3.133317936506554
2656-FMOKZ,15,1,0,1,74.45,1145.7,1,76.38,4.3357208817973705
2070-FNEXE,7,1,0,2,76.45,503.6,1,71.94,4.275832438267478
5947-SGKCL,15,1,0,2,105.35,1559.25,0,103.95,4.643910014304022
3712-PKXZA,61,1,1,3,20.55,1252.0,0,20.52,3.021400020302569
6317-YPKDH,1,0,0,2,29.95,29.95,1,29.95,3.3995293245614584
6582-OIVSP,1,1,0,1,45.3,45.3,0,45.3,3.8133070324889884
9367-WXLCH,8,1,0,2,84.5,662.65,1,82.83,4.416790314610172
5524-KHNJP,33,1,1,3,74.75,2453.3,0,74.34,4.308649164869106
1918-ZBFQJ,13,1,0,0,79.25,1111.65,1,85.51,4.448633328167864
1024-GUALD,1,0,0,0,24.8,24.8,1,24.8,3.2108436531709366
4827-USJHP,20,1,0,1,51.8,1023.85,0,51.19,3.935544200469492
8167-GJLRN,3,0,0,0,30.4,82.15,0,27.38,3.3098128198603027
0956-SYCWG,13,1,1,0,19.65,244.8,0,18.83,2.935451342669061
8017-UVSZU,40,1,0,3,56.6,2379.1,0,59.48,4.085640121591954
7100-FQPRV,43,1,1,3,71.9,3173.35,0,73.8,4.301358731606427
2472-OVKUP,6,1,0,0,91.0,531.0,1,88.5,4.483002552013883
2984-RGEYA,69,1,2,2,19.75,1375.4,0,19.93,2.9922261342247034
9680-NIAUV,72,1,2,3,109.7,8129.3,0,112.91,4.726591041192431
2146-EGVDT,59,1,2,3,19.3,1192.7,0,20.22,3.006672213592325
2604-IJPDU,20,1,0,0,96.55,1901.65,0,95.08,4.554718642491993
9178-JHUVJ,24,1,2,2,24.1,587.4,0,24.48,3.1978564576441255
6168-YBYNP,59,1,0,0,111.35,6519.75,0,110.5,4.705015520957808
7255-SSFBC,72,1,2,2,112.25,8041.65,0,111.69,4.715727176552735
3645-DEYGF,1,1,0,1,20.75,20.75,0,20.75,3.0325462466767075
9323-HGFWY,27,1,1,3,101.9,2681.15,0,99.3,4.598145571051127
8544-GOQSH,14,1,0,3,80.05,1112.3,0,79.45,4.375127892982725
3363-DTIVD,71,1,2,0,105.55,7405.5,0,104.3,4.647271362006727
7018-WBJNK,13,1,0,3,78.3,1033.95,0,79.53,4.376134308969044
9142-KZXOP,44,1,0,3,68.85,2958.95,0,67.25,4.208417018481948
7674-YTAFD,33,1,1,2,79.95,2684.85,0,81.36,4.398883751740304
6348-SNFUS,72,0,2,3,55.45,4179.2,0,58.04,4.061132428015987
1285-OKIPP,1,1,0,0,79.9,79.9,1,79.9,4.380775852772229
7825-ECJRF,19,1,0,0,106.6,1934.45,1,101.81,4.623108331119105
1347-KTTTA,64,1,1,3,102.45,6654.1,0,103.97,4.644102395989878
7841-TZDMQ,2,1,0,3,46.0,84.5,1,42.25,3.7436043538031827
4195-NZGTA,1,0,0,0,25.25,25.25,0,25.25,3.228826155721369
7157-SMCFK,61,1,2,1,19.75,1124.2,0,18.43,2.9139797716817317
4709-LKHYG,29,1,1,0,20.0,540.05,0,18.62,2.924236271848921
2504-DSHIH,23,1,0,0,86.8,1975.85,0,85.91,4.453300236649965
0699-NDKJM,57,0,0,2,58.75,3437.45,0,60.31,4.099497927462895
9286-BHDQG,72,0,2,3,45.25,3139.8,0,43.61,3.775286481854675
0230-WEQUW,66,0,2,2,56.6,3789.2,0,57.41,4.050218504179545
2040-LDIWQ,65,1,2,2,84.2,5324.5,0,81.92,4.4057431612911975
6496-JDSSB,8,1,0,2,80.0,624.6,0,78.08,4.357733942104837
9408-SSNVZ,4,1,0,0,70.15,268.35,1,67.09,4.206035001574797
4443-EMBNA,71,1,2,2,24.75,1836.9,0,25.87,3.2530839961979376
6469-MRVET,1,1,1,0,20.2,20.2,0,20.2,3.005682604407159
0742-MOABM,4,1,0,1,50.05,179.35,1,44.84,3.8031005982039594
5961-VUSRV,12,1,1,2,19.35,219.35,0,18.28,2.905807566026004
6778-JFCMK,24,0,1,1,50.6,1288.75,0,53.7,3.983413001514819
6341-JVQGF,31,1,1,1,81.15,2545.75,0,82.12,4.408181592150733
2232-DMLXU,1,1,0,1,55.2,55.2,1,55.2,4.01096295328305
4811-JBUVU,30,1,0,3,89.9,2723.15,0,90.77,4.508328834538536
0945-TSONX,47,1,2,3,85.3,4107.25,0,87.39,4.4703808596394525
2651-ZCBXV,54,1,2,3,108.0,5760.65,0,106.68,4.669833699313814
3316-UWXUY,50,1,0,3,93.5,4747.5,0,94.95,4.553350437258295
8937-RDTHP,1,1,0,1,84.6,84.6,1,84.6,4.437934266612178
7083-MIOPC,72,1,2,3,20.25,1566.9,0,21.76,3.080073421987742
1984-GPTEH,29,1,0,0,25.15,702.0,0,24.21,3.1867657709499673
1251-KRREG,2,1,0,1,54.4,114.1,1,57.05,4.0439280763080845
0621-JFHOL,10,0,2,1,29.6,299.05,0,29.9,3.3978584803966405
9903-LYSAB,18,1,0,0,73.15,1305.95,0,72.55,4.2842759793301965
0094-OIFMO,11,1,0,0,95.0,1120.3,1,101.85,4.623501142672815
9227-UAQFT,16,1,2,1,19.75,284.35,0,17.77,2.87751164216656
7301-ABVAD,72,1,2,2,86.6,6350.5,0,88.2,4.4796069630127455
6614-FHDBO,72,1,2,2,109.2,7878.3,0,109.42,4.69519368863568
7576-ASEJU,41,1,1,3,74.7,3187.65,0,77.75,4.353498551059343
9058-HRZSV,65,1,0,0,94.4,6126.15,0,94.25,4.54595082632812
4522-AKYLR,13,1,0,0,54.8,731.3,0,56.25,4.029806041084529
0221-WMXNQ,4,1,0,0,75.35,273.4,0,68.35,4.224641563169959
0303-UNCIP,41,1,1,1,65.0,2531.8,0,61.75,4.123093975508087
9947-OTFQU,15,1,0,0,74.4,1074.3,1,71.62,4.271374364570287
0322-YINQP,1,1,0,1,48.55,48.55,1,48.55,3.882594194737334
0959-WHOKV,42,1,1,0,99.0,4298.45,0,102.34,4.628300603376946
4075-JFPGR,51,1,1,0,93.5,4619.55,0,90.58,4.506233438128068
4629-NRXKX,2,1,0,0,70.4,147.15,1,73.58,4.2983732496766285
9514-JDSKI,1,0,0,0,40.2,40.2,1,40.2,3.6938669956249757
3282-ZISZV,32,1,1,3,83.7,2633.3,0,82.29,4.410249593617622
3675-YDUPJ,10,1,0,1,19.85,193.05,0,19.3,2.9601050959108397
4111-BNXIF,67,0,2,0,59.55,4103.9,0,61.25,4.114963849424837
7017-VFHAY,61,1,2,3,115.1,7008.15,0,114.89,4.743975148865274
6655-LHBYW,50,1,1,3,114.35,5791.1,0,115.82,4.752037261797644
4959-JOSRX,2,1,0,3,44.6,80.55,1,40.28,3.6958550678503617
5046-NUHWD,29,0,0,0,45.0,1228.65,0,42.37,3.7464405646384678
7273-TEFQD,3,0,0,0,41.15,132.2,1,44.07,3.7857792788538958
3606-TWKGI,13,1,0,0,106.9,1364.3,1,104.95,4.653484046266642
7529-ZDFXI,57,1,0,0,89.85,4925.35,0,86.41,4.4591034098533076
7605-BDWDC,31,0,2,2,49.85,1520.1,0,49.04,3.892636291627956
1950-KSVVJ,45,1,1,1,113.3,5032.25,0,111.83,4.716979861040097
0123-CRBRT,61,1,2,1,88.1,5526.75,0,90.6,4.506454213048934
6292-TOSSS,50,1,2,2,24.9,1195.25,0,23.9,3.173878458937465
3197-ARFOY,19,1,0,1,105.0,2007.25,0,105.64,4.660037087428932
6323-AYBRX,59,1,2,1,19.35,1099.6,1,18.64,2.925309809257445
7014-ZZXAW,71,1,2,3,24.25,1732.95,0,24.41,3.1949928844048685
4385-GZQXV,16,1,0,0,94.45,1511.2,1,94.45,4.548070593947519
7633-MVPUY,57,1,2,0,59.75,3450.15,0,60.53,4.103139109903596
6366-ZGQGL,1,0,0,2,24.8,24.8,1,24.8,3.2108436531709366
4716-HHKQH,20,1,0,0,107.05,2172.05,0,108.6,4.687671407499835
5940-AHUHD,1,1,0,1,70.6,70.6,1,70.6,4.257030144499196
6432-TWQLB,5,1,0,0,85.4,401.1,1,80.22,4.384772860341907
4484-GLZOU,52,1,0,0,105.05,5624.85,1,108.17,4.683704063642198
3179-GBRWV,21,1,0,2,64.95,1339.8,0,63.8,4.155753190350744
8645-KWHJO,14,0,0,0,55.0,771.95,0,55.14,4.0098754055956505
4130-MZLCC,5,1,0,2,50.55,244.75,0,48.95,3.8907993689765195
0314-TKOSI,6,1,0,1,55.15,322.9,0,53.82,3.9856451452987596
8229-MYEJZ,10,1,0,0,51.2,498.25,0,49.82,3.9084165098340344
2080-SRCDE,1,1,0,1,25.4,25.4,0,25.4,3.2347491740244907
9577-WJVCQ,68,1,0,1,54.45,3687.75,0,54.23,3.993234260852969
9512-UIBFX,18,1,0,1,95.15,1779.95,1,98.89,4.5940081212819
6202-DYYFX,22,1,1,3,76.0,1783.6,0,81.07,4.395312978999615
3808-HFKDE,20,1,0,0,44.35,927.15,0,46.36,3.836437018471551
5583-SXDAG,1,1,0,0,70.0,70.0,1,70.0,4.248495242049359
3488-PGMQJ,8,1,0,0,74.5,606.55,1,75.82,4.328362110088189
3580-REOAC,10,1,0,3,44.85,435.4,1,43.54,3.7736800558064014
7534-BFESC,24,1,0,0,76.1,1712.7,1,71.36,4.267737488271754
3727-OWVYD,35,1,1,1,61.2,2021.2,0,57.75,4.056123349401903
2294-SALNE,23,1,1,1,86.8,1940.8,0,84.38,4.435330406696193
4847-TAJYI,6,1,0,0,89.35,567.8,0,94.63,4.549974550520141
1563-IWQEX,12,1,0,1,19.7,220.35,0,18.36,2.9101743851923443
8203-XJZRC,1,1,0,1,20.25,20.25,0,20.25,3.0081547935525483
6556-DBKZF,71,1,2,0,76.05,5436.45,0,76.57,4.338205355125032
6851-WEFYX,35,1,0,0,100.8,3437.5,0,98.21,4.587108043169683
2985-JUUBZ,40,1,0,0,74.55,3015.75,0,75.39,4.32267464022361
6390-DSAZX,1,1,0,1,73.6,73.6,1,73.6,4.298645025734831
0895-LMRSF,23,1,1,2,64.9,1509.8,0,65.64,4.18418526622189
8098-LLAZX,4,1,0,0,95.45,396.1,1,99.02,4.595321849933277
8266-VBFQL,4,1,0,0,90.4,356.65,0,89.16,4.490432508517668
8181-YHCMF,68,0,2,3,60.3,4109.0,0,60.43,4.101485670373467
2240-HSJQD,38,1,0,1,81.85,3141.7,0,82.68,4.414977734813568
1248-DYXUB,52,1,2,1,24.8,1229.1,0,23.64,3.1629401925378975
0265-EDXBD,32,1,0,0,74.9,2303.35,1,71.98,4.276388302650885
4115-BNPJY,29,1,2,1,75.55,2054.4,0,70.84,4.260423812914633
3167-SNQPL,38,1,0,0,101.15,3741.85,0,98.47,4.589751933259711
4091-TVOCN,48,1,1,3,78.75,3682.45,0,76.72,4.340162430575183
1098-TDVUQ,1,1,0,2,19.25,19.25,0,19.25,2.9575110607337933
7277-OZCGZ,22,1,0,0,89.05,1886.25,0,85.74,4.451319461169831
1557-EMYVT,43,1,2,3,115.05,4895.1,0,113.84,4.734793953781597
2799-ARNLO,5,1,0,0,69.35,341.6,0,68.32,4.224202549480315
7563-BIUPC,5,1,0,0,80.6,415.55,1,83.11,4.420165031564935
5027-YOCXN,51,1,1,3,110.05,5686.4,0,111.5,4.7140245909001735
3973-SKMLN,71,1,2,3,19.9,1355.1,0,19.09,2.949164637737656
2321-OMBXY,38,1,1,3,80.3,3058.65,1,80.49,4.388132953105642
2840-XANRC,24,1,0,0,93.15,2231.05,1,92.96,4.532169293103601
6745-JEFZB,35,1,0,3,91.5,3236.35,0,92.47,4.526884267589547
5020-ZSTTY,54,1,1,2,82.45,4350.1,1,80.56,4.389002248410307
9880-TDQAC,72,0,2,0,60.0,4264.0,0,59.22,4.0812593226734455
8705-WZCYL,1,1,0,0,44.8,44.8,0,44.8,3.8022081394209395
7102-JJVTX,9,1,1,1,48.6,422.3,0,46.92,3.848444023785275
8626-PTQGE,69,0,2,2,60.05,4176.7,0,60.53,4.103139109903596
4983-CLMLV,52,1,0,3,102.7,5138.1,0,98.81,4.593198814206872
5701-YVSVF,11,1,0,0,82.9,880.05,0,80.0,4.382026634673881
5804-LEPIM,2,1,0,0,70.35,139.05,1,69.53,4.2417583141109265
5697-GOMBF,28,0,0,0,35.9,973.65,0,34.77,3.5487549460197703
2739-CACDQ,17,1,0,3,82.65,1470.05,0,86.47,4.459797532972339
9385-EHGDO,35,1,2,1,19.85,739.35,0,21.12,3.050220458838061
9498-FIMXL,8,1,1,1,19.2,161.95,0,20.24,3.0076608444192647
2379-GYFLQ,46,1,1,3,94.9,4422.95,0,96.15,4.565909472034789
0122-OAHPZ,7,1,0,0,73.85,511.25,1,73.04,4.291007236286713
2868-SNELZ,2,1,0,1,80.6,155.8,1,77.9,4.355425952876702
4322-RCYMT,68,1,1,2,75.8,5293.95,1,77.85,4.354783898280007
6680-NENYN,43,1,2,0,104.6,4759.85,1,110.69,4.706733501397532
2088-IEBAU,68,1,2,0,88.15,6148.45,0,90.42,4.504465481866459
7982-VCELR,36,1,0,3,94.8,3565.65,0,99.05,4.59562477314456
1343-EHPYB,63,1,0,0,103.4,6603.0,1,104.81,4.652149187182086
6035-BXTTY,32,1,0,2,54.65,1830.1,0,57.19,4.046379057927225
6885-PKOAM,71,1,2,3,85.75,6223.8,0,87.66,4.473465694990663
7520-HQWJU,66,1,0,2,67.45,4508.65,0,68.31,4.224056168743758
9639-BUJXT,63,1,1,1,20.5,1328.15,0,21.08,3.0483247236731614
5924-SNGKP,41,1,1,3,20.25,865.0,0,21.1,3.0492730404820207
0021-IKXGC,1,1,0,0,72.1,72.1,0,72.1,4.278054044290903
2034-GDRCN,2,1,0,0,90.4,168.2,1,84.1,4.432006566978902
